date,buy_date,model,K,n_hold,gross_ret,net_ret,buy_cost,sell_cost,roundtrip_cost,is_trade_day,equity
2025-04-23,2025-04-22,ZeroGraph,10,10,0.017382671140134337,0.016182671140134337,0.0001,0.0011,0.0012000000000000001,1,1.2034290760009463
2025-04-24,2025-04-23,ZeroGraph,10,10,0.007731045246124268,0.006531045246124268,0.0001,0.0011,0.0012000000000000001,1,1.21128872574681
2025-04-25,2025-04-24,ZeroGraph,10,10,0.006678935818374157,0.005478935818374157,0.0001,0.0011,0.0012000000000000001,1,1.217925298932697
2025-04-28,2025-04-25,ZeroGraph,10,10,0.00011238218843936978,-0.0010876178115606303,0.0001,0.0011,0.0012000000000000001,1,1.2166006616844274
2025-04-29,2025-04-28,ZeroGraph,10,10,0.006533245634287596,0.005333245634287597,0.0001,0.0011,0.0012000000000000001,1,1.2230890918520272
2025-04-30,2025-04-29,ZeroGraph,10,10,0.006238401636481286,0.005038401636481286,0.0001,0.0011,0.0012000000000000001,1,1.2292515059339768
2025-05-06,2025-04-30,ZeroGraph,10,10,0.013343245923519135,0.012143245923519135,0.0001,0.0011,0.0012000000000000001,1,1.2441786092723892
2025-05-07,2025-05-06,ZeroGraph,10,10,0.010345980823040009,0.00914598082304001,0.0001,0.0011,0.0012000000000000001,1,1.2555578429732313
2025-05-08,2025-05-07,ZeroGraph,10,10,-0.000656870678067208,-0.0018568706780672081,0.0001,0.0011,0.0012000000000000001,1,1.253226434429997
2025-05-09,2025-05-08,ZeroGraph,10,10,0.0012501039654016495,5.0103965401649374e-05,0.0001,0.0011,0.0012000000000000001,1,1.2532892260439084
2025-05-12,2025-05-09,ZeroGraph,10,10,0.009749860376119615,0.008549860376119616,0.0001,0.0011,0.0012000000000000001,1,1.2640046739374788
2025-05-13,2025-05-12,ZeroGraph,10,10,0.014692319460213182,0.013492319460213183,0.0001,0.0011,0.0012000000000000001,1,1.281059028797446
2025-05-14,2025-05-13,ZeroGraph,10,10,0.005043138772249222,0.003843138772249222,0.0001,0.0011,0.0012000000000000001,1,1.2859823164205575
2025-05-15,2025-05-14,ZeroGraph,10,10,0.010987985253334045,0.009787985253334045,0.0001,0.0011,0.0012000000000000001,1,1.2985694923697302
2025-05-16,2025-05-15,ZeroGraph,10,10,0.012615054756402969,0.011415054756402969,0.0001,0.0011,0.0012000000000000001,1,1.313392734230125
2025-05-19,2025-05-16,ZeroGraph,10,10,0.0041318700090050686,0.0029318700090050684,0.0001,0.0011,0.0012000000000000001,1,1.3172434309976595
2025-05-20,2025-05-19,ZeroGraph,10,10,0.005956976011395454,0.004756976011395454,0.0001,0.0011,0.0012000000000000001,1,1.3235095264000836
2025-05-21,2025-05-20,ZeroGraph,10,10,-0.0021594182029366503,-0.0033594182029366504,0.0001,0.0011,0.0012000000000000001,1,1.319063304405335
2025-05-22,2025-05-21,ZeroGraph,10,10,0.0009367435500025748,-0.0002632564499974253,0.0001,0.0011,0.0012000000000000001,1,1.3187160524824955
2025-05-23,2025-05-22,ZeroGraph,10,10,0.0008582577705383299,-0.0003417422294616702,0.0001,0.0011,0.0012000000000000001,1,1.318265391518693
2025-05-26,2025-05-23,ZeroGraph,10,10,1.3679400086403019e-05,-0.0011863205999135971,0.0001,0.0011,0.0012000000000000001,1,1.3167015061285812
2025-05-27,2025-05-26,ZeroGraph,10,10,-0.001435508735477924,-0.002635508735477924,0.0001,0.0011,0.0012000000000000001,1,1.3132313278071623
2025-05-28,2025-05-27,ZeroGraph,10,10,0.0065147650614380825,0.005314765061438083,0.0001,0.0011,0.0012000000000000001,1,1.3202108437857778
2025-05-29,2025-05-28,ZeroGraph,10,10,0.002610835377126932,0.0014108353771269317,0.0001,0.0011,0.0012000000000000001,1,1.3220734439494575
2025-05-30,2025-05-29,ZeroGraph,10,10,0.000778189927339553,-0.0004218100726604471,0.0001,0.0011,0.0012000000000000001,1,1.3215157800540027
2025-06-03,2025-05-30,ZeroGraph,10,10,-0.005126690953969957,-0.006326690953969956,0.0001,0.0011,0.0012000000000000001,1,1.3131549581228066
2025-06-04,2025-06-03,ZeroGraph,10,10,0.008825660072267056,0.007625660072267056,0.0001,0.0011,0.0012000000000000001,1,1.3231686314556632
2025-06-05,2025-06-04,ZeroGraph,10,10,0.004808574661612511,0.0036085746616125107,0.0001,0.0011,0.0012000000000000001,1,1.3279433842521746
2025-06-06,2025-06-05,ZeroGraph,10,10,0.011565037488937377,0.010365037488937377,0.0001,0.0011,0.0012000000000000001,1,1.3417075672131349
