date,n_obs,mse_candidate,mse_baseline,loss_diff,Candidate,Baseline,Comparison
2025-06-23,3041,2.3868609560428093,2.409454170339764,0.02259321429695451,Proposed Graph-2,ZeroGraph,Proposed Graph-2 vs ZeroGraph
2025-06-24,3042,2.2642792303230697,2.195668555181268,-0.06861067514180157,Proposed Graph-2,ZeroGraph,Proposed Graph-2 vs ZeroGraph
2025-06-25,3042,0.8776609800681878,0.9273718291295397,0.04971084906135197,Proposed Graph-2,ZeroGraph,Proposed Graph-2 vs ZeroGraph
2025-06-26,3042,1.713621541258114,1.7394679294524882,0.025846388194374247,Proposed Graph-2,ZeroGraph,Proposed Graph-2 vs ZeroGraph
2025-06-27,3040,1.5024808646860517,1.5016095032900343,-0.0008713613960170349,Proposed Graph-2,ZeroGraph,Proposed Graph-2 vs ZeroGraph
2025-06-30,3040,1.0716701124289632,1.1126547692948048,0.040984656865841566,Proposed Graph-2,ZeroGraph,Proposed Graph-2 vs ZeroGraph
2025-07-01,3040,0.6205829362519514,0.6814427294024991,0.06085979315054757,Proposed Graph-2,ZeroGraph,Proposed Graph-2 vs ZeroGraph
2025-07-02,3041,0.9863084906062847,0.996783745867137,0.010475255260852384,Proposed Graph-2,ZeroGraph,Proposed Graph-2 vs ZeroGraph
2025-07-03,3041,0.9715189112710081,1.004595442516395,0.03307653124538697,Proposed Graph-2,ZeroGraph,Proposed Graph-2 vs ZeroGraph
2025-07-04,3041,0.9790326702799361,1.010942782920231,0.03191011264029483,Proposed Graph-2,ZeroGraph,Proposed Graph-2 vs ZeroGraph
2025-07-07,3042,1.600361694799188,1.6426559080442658,0.04229421324507761,Proposed Graph-2,ZeroGraph,Proposed Graph-2 vs ZeroGraph
2025-07-08,3038,0.7753582474596608,0.8218432890002186,0.04648504154055798,Proposed Graph-2,ZeroGraph,Proposed Graph-2 vs ZeroGraph
2025-07-09,3040,1.3410542971723756,1.3644233540826995,0.023369056910323975,Proposed Graph-2,ZeroGraph,Proposed Graph-2 vs ZeroGraph
2025-07-10,3041,1.0315127974884732,1.0340813235552415,0.0025685260667682066,Proposed Graph-2,ZeroGraph,Proposed Graph-2 vs ZeroGraph
2025-07-11,3042,1.3930042180029254,1.4142446489417557,0.02124043093883034,Proposed Graph-2,ZeroGraph,Proposed Graph-2 vs ZeroGraph
2025-07-14,3041,1.3088484601352959,1.2894169877893127,-0.019431472345983268,Proposed Graph-2,ZeroGraph,Proposed Graph-2 vs ZeroGraph
2025-07-15,3041,1.8498440985812885,1.824488244231871,-0.025355854349417478,Proposed Graph-2,ZeroGraph,Proposed Graph-2 vs ZeroGraph
2025-07-16,3040,0.56830281199378,0.5841174046222848,0.01581459262850484,Proposed Graph-2,ZeroGraph,Proposed Graph-2 vs ZeroGraph
2025-07-17,3041,0.6929083505431846,0.7050084129531264,0.012100062409941902,Proposed Graph-2,ZeroGraph,Proposed Graph-2 vs ZeroGraph
2025-07-18,3041,0.7214806497310842,0.7576496567064933,0.03616900697540912,Proposed Graph-2,ZeroGraph,Proposed Graph-2 vs ZeroGraph
2025-07-21,3042,2.3840508085200955,2.3922796818198173,0.008228873299721615,Proposed Graph-2,ZeroGraph,Proposed Graph-2 vs ZeroGraph
2025-07-22,3039,1.0737388564430768,1.2070642443794366,0.13332538793635973,Proposed Graph-2,ZeroGraph,Proposed Graph-2 vs ZeroGraph
2025-07-23,3041,1.3087855162399098,1.4016889274784405,0.09290341123853074,Proposed Graph-2,ZeroGraph,Proposed Graph-2 vs ZeroGraph
2025-07-24,3041,0.9070353079134229,0.9611188789526318,0.05408357103920892,Proposed Graph-2,ZeroGraph,Proposed Graph-2 vs ZeroGraph
2025-07-25,3041,0.9054175979972782,0.9818513843238601,0.07643378632658186,Proposed Graph-2,ZeroGraph,Proposed Graph-2 vs ZeroGraph
2025-07-28,3041,0.9596001410973947,0.9839676254884326,0.024367484391037954,Proposed Graph-2,ZeroGraph,Proposed Graph-2 vs ZeroGraph
2025-07-29,3046,2.409959628665893,2.4410260413460025,0.031066412680109765,Proposed Graph-2,ZeroGraph,Proposed Graph-2 vs ZeroGraph
2025-07-30,3046,0.6357018910926084,0.638143443874181,0.002441552781572584,Proposed Graph-2,ZeroGraph,Proposed Graph-2 vs ZeroGraph
2025-07-31,3046,0.9653796147549377,0.9582090942239093,-0.007170520531028367,Proposed Graph-2,ZeroGraph,Proposed Graph-2 vs ZeroGraph
2025-08-01,3046,0.7176979616281262,0.7206495495382957,0.002951587910169576,Proposed Graph-2,ZeroGraph,Proposed Graph-2 vs ZeroGraph
2025-08-04,3044,0.8950001987544423,0.9143166615370028,0.01931646278256041,Proposed Graph-2,ZeroGraph,Proposed Graph-2 vs ZeroGraph
2025-08-05,3044,0.599660525324697,0.6855264052114366,0.0858658798867396,Proposed Graph-2,ZeroGraph,Proposed Graph-2 vs ZeroGraph
2025-08-06,3044,0.47756334299041114,0.4865350667100521,0.008971723719640928,Proposed Graph-2,ZeroGraph,Proposed Graph-2 vs ZeroGraph
2025-08-07,3045,0.6677900845845367,0.7408795603036629,0.07308947571912608,Proposed Graph-2,ZeroGraph,Proposed Graph-2 vs ZeroGraph
2025-08-08,3045,0.9695245445621901,0.9664954146158965,-0.003029129946293643,Proposed Graph-2,ZeroGraph,Proposed Graph-2 vs ZeroGraph
2025-08-11,3047,1.4633475114046175,1.5154522515726232,0.052104740168005724,Proposed Graph-2,ZeroGraph,Proposed Graph-2 vs ZeroGraph
2025-08-12,3047,0.7522430586361032,0.7813656763883657,0.02912261775226255,Proposed Graph-2,ZeroGraph,Proposed Graph-2 vs ZeroGraph
2025-08-13,3046,0.7927517135201971,0.8299046055706176,0.03715289205042048,Proposed Graph-2,ZeroGraph,Proposed Graph-2 vs ZeroGraph
2025-08-14,3046,0.7493873516061251,0.7784798174064878,0.029092465800362673,Proposed Graph-2,ZeroGraph,Proposed Graph-2 vs ZeroGraph
2025-08-15,3045,0.8573894676398531,0.8686251593057585,0.011235691665905307,Proposed Graph-2,ZeroGraph,Proposed Graph-2 vs ZeroGraph
2025-08-18,3045,1.3704988601684802,1.5948167401526503,0.2243178799841702,Proposed Graph-2,ZeroGraph,Proposed Graph-2 vs ZeroGraph
2025-08-19,3046,0.8743869602165255,0.9021575585551882,0.027770598338662616,Proposed Graph-2,ZeroGraph,Proposed Graph-2 vs ZeroGraph
2025-08-20,3045,1.053337569115353,1.0242211386736577,-0.029116430441695033,Proposed Graph-2,ZeroGraph,Proposed Graph-2 vs ZeroGraph
2025-08-21,3045,1.087900835483353,1.147783478285333,0.059882642801979885,Proposed Graph-2,ZeroGraph,Proposed Graph-2 vs ZeroGraph
2025-08-22,3046,0.9805206271389418,1.0197108593627515,0.03919023222380989,Proposed Graph-2,ZeroGraph,Proposed Graph-2 vs ZeroGraph
2025-08-25,3047,1.2844771029072357,1.4367688914677852,0.15229178856054942,Proposed Graph-2,ZeroGraph,Proposed Graph-2 vs ZeroGraph
2025-08-26,3046,0.8489989272120944,0.8528640769312827,0.0038651497191883356,Proposed Graph-2,ZeroGraph,Proposed Graph-2 vs ZeroGraph
2025-08-27,3046,0.8525382211660023,0.8769736982133118,0.024435477047309556,Proposed Graph-2,ZeroGraph,Proposed Graph-2 vs ZeroGraph
2025-08-28,3046,1.173114605418744,1.1660072685474492,-0.007107336871294836,Proposed Graph-2,ZeroGraph,Proposed Graph-2 vs ZeroGraph
2025-08-29,3046,1.0233059219012959,1.0962393490334479,0.07293342713215208,Proposed Graph-2,ZeroGraph,Proposed Graph-2 vs ZeroGraph
2025-09-01,3045,1.4543161816877186,1.4590537010455933,0.004737519357874482,Proposed Graph-2,ZeroGraph,Proposed Graph-2 vs ZeroGraph
2025-09-02,3046,0.7526395944173611,0.776429373621913,0.023789779204551893,Proposed Graph-2,ZeroGraph,Proposed Graph-2 vs ZeroGraph
2025-09-03,3047,1.1383880825517667,1.0866703417536667,-0.051717740798099876,Proposed Graph-2,ZeroGraph,Proposed Graph-2 vs ZeroGraph
2025-09-04,3046,0.9777442664746497,0.9414841881245065,-0.03626007835014316,Proposed Graph-2,ZeroGraph,Proposed Graph-2 vs ZeroGraph
2025-09-05,3046,0.9678329536746426,0.9568113181789772,-0.011021635495665412,Proposed Graph-2,ZeroGraph,Proposed Graph-2 vs ZeroGraph
2025-09-08,3048,1.115001773804298,1.2230871844933822,0.10808541068908403,Proposed Graph-2,ZeroGraph,Proposed Graph-2 vs ZeroGraph
2025-09-09,3048,0.7282320244294563,0.728303573696361,7.154926690481307e-05,Proposed Graph-2,ZeroGraph,Proposed Graph-2 vs ZeroGraph
2025-09-10,3049,1.0593431129673072,1.0512911154273474,-0.008051997539959768,Proposed Graph-2,ZeroGraph,Proposed Graph-2 vs ZeroGraph
2025-09-11,3047,0.860395226016882,0.8543223470663666,-0.006072878950515441,Proposed Graph-2,ZeroGraph,Proposed Graph-2 vs ZeroGraph
2025-09-12,3048,0.6148370480533145,0.6450210411234468,0.03018399307013238,Proposed Graph-2,ZeroGraph,Proposed Graph-2 vs ZeroGraph
2025-09-15,3047,1.27295485556277,1.264450166786204,-0.008504688776566094,Proposed Graph-2,ZeroGraph,Proposed Graph-2 vs ZeroGraph
2025-09-16,3048,0.8458468047254272,0.869817363036988,0.023970558311560957,Proposed Graph-2,ZeroGraph,Proposed Graph-2 vs ZeroGraph
